IPT0235,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377K07,Fisica,VMWARE,VMware ESXi 5.5.0 build-3248547,64,5.5.0 build-3248547,PRD
IPT0250,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JVV,Virtual,Linux,Linux CentOS,64,4/5/6/7 (64-bit),PRD
IPT0258,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JVV,Virtual,Linux,Linux,64,3.x or later Linux (64-bit),PRD
IPT0274,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JVV,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0302,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JVV,Virtual,Linux,Linux,64,unknown,PRD
IPT0303,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JVV,Virtual,Linux,Linux,64,64-bit),PRD
IPT0034,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JS2,Virtual,Linux,Linux SUSE,64,11 (64-bit),QUA
IPT0040,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JS2,Virtual,Linux,Linux SUSE,64,Appliance,PRD
IPT0269,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JS2,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0294,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377JS2,Virtual,Linux,CentOS 7 (64-bit),64,7 (64-bit),PRD
IPT0238,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377H1A,Fisica,VMWARE,VMware ESXi 5.5.0 build-2068190,64,5.5.0 build-2068190,PRD
IPT0301,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377H1A,Virtual,Linux,Linux,64,unknown,PRD
IPT0319,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377H1A,Virtual,Linux,Linux RHEL 6,64,6 (64-bit),PRD
IPT0337,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21377H1A,Virtual,Linux,Linux RHEL 6,64,6.10,PRD
IPT0236,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH21367NN2,Fisica,VMWARE,VMware ESXi 5.5.0 build-3248547,64,5.5.0 build-3248547,PRD
IPT0259,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH212675BL,Virtual,Linux,Linux CentOS,64,4/5/6/7 (64-bit),PRD
IPT0272,IPT,Infrastructure,NCI,SUPPLIER A,UCSB-B200-M4,FCH212675BL,Fisica,VMWARE,VMware ESXi 6.5.0 build-13635690,64,6.5.0 build-13635690,PRD
IPT0002,IPT,Infrastructure,ALF,SUPPLIER A,BLADE SERVER HP,DEH480248R,Fisica,LINUX,HPUX|B.11.31,64,11.31,PRD
IPT0193,IPT,Infrastructure,ALF,SUPPLIER A,BLADE,CZJ450099G,Fisica,Vmware,VMware ESXi 5.5.0 build-2718055,64,5.5.0 build-2718055,PRD
IPT0190,IPT,Infrastructure,ALF,SUPPLIER A,BLADE,CZJ450099F,Fisica,Vmware,VMware ESXi 5.5.0 build-2718055,64,5.5.0 build-2718055,PRD
